ticker;current_value;closing_value;opening_value;variation;highest_value;lowest_value;daily_volume;market_value;paper_in_circulation
SANB4;15;15.2;15.19;-1.32;15.28;14.85;9800;132450789480;8830052632
BBSE3;30.61;30.44;30.5;0.56;30.78;30.12;4444400;61220001221;2000000000
UNIP6;22.6;22.51;22.63;0.4;22.7;22.22;106600;1888371101;83556242
AALR3;15.1;15.15;15.23;-0.33;15.39;14.9;260600;1786221401;118292805
VVAR11;24.36;25.25;25.4;-3.52;25.44;23.72;3743100;10259901648;421178218
ECOR3;10.33;10.98;10.88;-5.92;10.95;10.31;4569600;5771361547;558699089
CARD3;11.65;11.66;11.71;-0.09;11.88;11.4;180600;486969984;41800000
ENGI11;31;30.96;30.96;0.13;31.46;30.51;511800;12397436703;399917313
TGMA3;21.5;22;22.17;-2.27;22.17;21.02;333800;1419062544;66002909
PLRI11;84.07;86;86.1;-2.24;86.1;83.17;218;null;null
MPLU3;33.5;33.99;33.99;-1.44;34.1;33.03;237500;5435260196;162246573
SANB11;34.78;35.33;35.02;-1.56;35.36;34.43;1934300;132127374457;3798947070
FIXX11;93.5;94;94.01;-0.53;94.01;92.5;693;null;null
ESTC3;33.39;34.25;34;-2.51;34.37;32.87;2985100;10614558932;317896350
SAPR4;10.23;10.52;10.5;-2.76;10.52;10.21;463400;5889616891;575720152
VULC3;10.04;10.12;10.13;-0.79;10.17;9.85;859800;2467393484;245756324
CVCB3;53.7;54.67;54.48;-1.77;54.48;53.02;1270000;7609300902;141700201
XPOM11;97.5;97.01;98.3;0.51;98.33;97;2568;null;null
QUAL3;29.35;29.78;29.7;-1.44;29.75;28.7;2067200;8481183263;288967058
VVAR3;7.36;7.7;7.59;-4.42;7.62;7.35;18000;10165163823;1381136364
EMBR3;21.44;21.6;21.75;-0.74;21.84;20.92;2741300;15875566029;740464815
BRIV4;6.82;7.08;6.89;-3.67;7.05;6.8;2900;565726080;82951036
DOMC11;646;646;null;0;null;null;0;null;null
BBRC11;147.3;147.95;147.31;-0.44;147.94;147.3;1359;null;null
BEEF3;9.11;9.14;9.18;-0.33;9.18;9.01;1274800;2094027108;229860284
SLCE3;32.11;31.75;31.61;1.13;32.77;31.61;266100;3175599171;98897512
CMIG4;7.27;7.3;7.29;-0.41;7.45;7.16;9960100;10328329629;1420678082
HTMX11;132.95;133;132.98;-0.04;132.99;132.52;2418;null;null
BRIN3;9.84;10.6;10.78;-7.17;10.78;9.84;86500;75460167;7668716
KROT3;15.06;15;14.93;0.4;15.44;14.81;11970100;24706332293;1640526667
EZTC3;22.2;22.37;22.36;-0.76;22.49;22.14;488100;3663039819;165001788
HCRI11;331.01;330.5;330;0.15;331.99;330;279;null;null
BKBR3;16.8;17;17;-1.18;17;16.79;112500;3734273187;222278176
CRFB3;14.59;14.86;14.92;-1.82;14.92;14.35;1376600;28902191383;1980958950
SUZB3;19.92;19.88;19.81;0.2;20.1;19.3;6071200;20724926463;1040407951
CZLT33;35.16;35.36;35;-0.57;35.36;34.09;153400;9253962811;263195758
TWXB34;308.75;308.75;null;0;null;null;0;null;null
